entry,eLink,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Calib,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
0,0,0,0,28316672,0,2105344,0,79706112,0,0,1129689,22528,32514048,7168,1072128,0,0,25600,10240,0,88095744,0,0,0,0,104903680,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,59781120,34670592,26624,0,25198592,0,0,78656512,25198592,0,0,12628992,115362816,0,7449817,0,14689280,44047360,26227712,0,0,0,0,0,45096960,0,0
0,2,0,0,0,0,0,0,0,57684992,0,0,0,39855104,63975424,0,13648896,0,0,0,13648896,0,0,46146560,0,0,34608128,0,0,0,0,49292288,0,0,0,0,0,0,0
0,3,0,1079296,35675136,9474048,4357339,0,0,0,0,0,0,10497024,0,0,6144,0,0,6302720,6144,89144320,36706304,0,0,0,0,0,0,0,52440064,0,0,0,0,0,1072128,0,0
0,4,0,0,0,0,2119680,0,0,10496000,0,0,0,0,0,0,0,0,18920448,0,0,9216,11264,13676544,0,1059840,1061888,4303092,57344,0,0,0,0,1197256,0,0,0,0,28672
0,5,0,31462400,2147483923,0,0,0,0,0,0,38958370,0,0,0,0,0,0,0,0,0,0,0,0,0,15360,0,19939328,0,53486592,114317312,0,15360,0,0,0,1069056,8413184,53248
0,6,0,0,0,0,0,0,0,0,115362816,0,0,0,2111488,13312,38803456,0,0,0,28672,2163712,0,0,0,0,41970688,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,0,0,0,9216,81094,0,0,11264,2111488,0,100679680,0,2124800,0,28672,0,2110464,0,33561600,0,0,0,0,0,0,0,1085440,0,26224640,0,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6325248,0,34608128,3155968,0,6301696,12599296,0,158389248,88095744,26232832,0,0,14763008,0,2106368,12288,0,0
0,9,3154944,26231808,0,58368,1079296,30720,15748096,12288,34750669,48242688,0,0,30444544,9216,6325248,14336,46146560,8192,3171328,1108992,3238630,0,0,15753216,19965952,0,1058816,0,0,0,108023808,0,0,0,32510976,0,0
0,10,76559360,0,1053696,0,0,0,39852032,0,0,0,0,0,0,0,0,0,0,121656320,0,2107392,0,0,0,0,0,0,0,0,0,0,0,5257216,0,0,0,0,0
0,11,11573248,85199,192971776,0,0,0,59781120,0,161509376,15360,0,0,0,0,3171328,0,0,73412608,0,0,67120128,0,96485376,76559360,115362816,24123392,15360,23074816,2109440,50340864,1073152,9477120,0,88088576,0,0,0
1,0,0,22131906,10240,16844800,5331171,5265408,81105,4209664,23552,0,4338907,0,9216,0,11264,0,57681920,0,11264,35660800,0,0,0,0,0,0,0,0,0,0,0,0,14336,0,26219520,0,0
1,1,13723863,12600320,0,0,3228883,15360,49303552,10240,68168704,53486592,15734784,26624,34608128,0,0,36864,3176448,2135040,0,0,0,96493568,0,67584,53575903,0,25171968,0,1063936,14693376,13875465,11264,0,0,0,26294272,0
1,2,0,0,0,65536,0,14691328,0,0,0,2105344,51200,1112064,14336,0,14336,11539456,0,0,14336,1084416,0,0,34608128,0,0,123753472,0,0,0,0,0,0,1102848,0,0,3152896,0
1,3,26250240,8192,15360,0,156264448,16874717,102608,0,0,3180544,67120128,0,0,0,0,10240,45292777,1106944,0,33582080,30417920,0,0,0,24122368,26624,0,0,0,0,0,0,10240,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14336,129027072,0,0,8192,27276288,0,0,0,0
1,5,0,0,16384,3153920,39853056,11264,0,0,105940992,0,58368,16384,0,18432,9216,0,0,0,0,27279360,30413824,1053696,0,0,0,0,24126464,0,0,0,0,6144,0,0,35840,35840,12288
1,6,27290624,326165504,181435392,53488640,0,0,62979072,228629504,339800064,0,0,0,48245760,285265920,63975424,0,0,7168,0,196117504,0,0,0,0,20976640,196118528,0,0,40903680,0,0,37756928,71315456,34609152,34609152,0,0
